State,Product,state_code,UnitsSold
Oklahoma,Men's Street Footwear,OK,11235
Oklahoma,Women's Apparel,OK,7355
Oklahoma,Women's Athletic Footwear,OK,4644
Oklahoma,Women's Street Footwear,OK,5773
Oregon,Men's Apparel,OR,5731
Oregon,Men's Athletic Footwear,OR,10004
Oregon,Men's Street Footwear,OR,11038
Oregon,Women's Apparel,OR,8311
Oregon,Women's Athletic Footwear,OR,6760
Oregon,Women's Street Footwear,OR,8692
Pennsylvania,Men's Apparel,PA,2559
Pennsylvania,Men's Athletic Footwear,PA,4605
Pennsylvania,Men's Street Footwear,PA,8928
Pennsylvania,Women's Apparel,PA,4913
Pennsylvania,Women's Athletic Footwear,PA,2721
Pennsylvania,Women's Street Footwear,PA,3936
Rhode Island,Men's Apparel,RI,2713
Rhode Island,Men's Athletic Footwear,RI,4437
Rhode Island,Men's Street Footwear,RI,8878
Rhode Island,Women's Apparel,RI,5132
Rhode Island,Women's Athletic Footwear,RI,2461
Rhode Island,Women's Street Footwear,RI,3852
South Carolina,Men's Apparel,SC,10780
South Carolina,Men's Athletic Footwear,SC,11825
South Carolina,Men's Street Footwear,SC,15598
South Carolina,Women's Apparel,SC,12598
South Carolina,Women's Athletic Footwear,SC,10531
South Carolina,Women's Street Footwear,SC,11278
South Dakota,Men's Apparel,SD,2392
South Dakota,Men's Athletic Footwear,SD,3724
South Dakota,Men's Street Footwear,SD,7352
South Dakota,Women's Apparel,SD,4216
South Dakota,Women's Athletic Footwear,SD,2122
South Dakota,Women's Street Footwear,SD,3167
Tennessee,Men's Apparel,TN,7737
Tennessee,Men's Athletic Footwear,TN,12738
Tennessee,Men's Street Footwear,TN,13111
Tennessee,Women's Apparel,TN,12345
Tennessee,Women's Athletic Footwear,TN,8393
Tennessee,Women's Street Footwear,TN,11753
Texas,Men's Apparel,TX,19738
Texas,Men's Athletic Footwear,TX,30110
Texas,Men's Street Footwear,TX,30555
Texas,Women's Apparel,TX,29174
Texas,Women's Athletic Footwear,TX,21634
Texas,Women's Street Footwear,TX,28289
Utah,Men's Apparel,UT,6277
Utah,Men's Athletic Footwear,UT,8025
Utah,Men's Street Footwear,UT,11922
Utah,Women's Apparel,UT,8848
Utah,Women's Athletic Footwear,UT,6173
Utah,Women's Street Footwear,UT,7303
Vermont,Men's Apparel,VT,4607
Vermont,Men's Athletic Footwear,VT,6267
Vermont,Men's Street Footwear,VT,10789
Vermont,Women's Apparel,VT,6982
Vermont,Women's Athletic Footwear,VT,4327
Vermont,Women's Street Footwear,VT,5713
Virginia,Men's Apparel,VA,6106
Virginia,Men's Athletic Footwear,VA,10288
Virginia,Men's Street Footwear,VA,12107
Virginia,Women's Apparel,VA,8425
Virginia,Women's Athletic Footwear,VA,6995
Virginia,Women's Street Footwear,VA,9048
Washington,Men's Apparel,WA,5374
Washington,Men's Athletic Footwear,WA,8988
Washington,Men's Street Footwear,WA,10334
Washington,Women's Apparel,WA,7263
Washington,Women's Athletic Footwear,WA,6684
Washington,Women's Street Footwear,WA,7968
West Virginia,Men's Apparel,WV,3697
West Virginia,Men's Athletic Footwear,WV,4788
West Virginia,Men's Street Footwear,WV,8221
West Virginia,Women's Apparel,WV,5528
West Virginia,Women's Athletic Footwear,WV,3432
West Virginia,Women's Street Footwear,WV,4207
Wisconsin,Men's Apparel,WI,2546
Wisconsin,Men's Athletic Footwear,WI,3887
Wisconsin,Men's Street Footwear,WI,7552
Wisconsin,Women's Apparel,WI,4387
Wisconsin,Women's Athletic Footwear,WI,2297
Wisconsin,Women's Street Footwear,WI,3281
Wyoming,Men's Apparel,WY,6983
Wyoming,Men's Athletic Footwear,WY,8261
Wyoming,Men's Street Footwear,WY,11426
Wyoming,Women's Apparel,WY,9074
Wyoming,Women's Athletic Footwear,WY,6900
Wyoming,Women's Street Footwear,WY,7584
