Retailer,InvoiceDate,Region,State,City,Product,Price per Unit,UnitsSold,TotalSales,OperatingProfit,OperatingMargin,SalesMethod,state_code
walmart,2019-01-02,Northeast,Delaware,Wilmington,Women's Athletic Footwear,35.0,1914,66990.0,33500.0,50.0,In-store,DE
foot locker,2019-01-02,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,70.0,1419,99330.0,45690.0,46.0,Online,NH
foot locker,2019-01-02,South,Tennessee,Knoxville,Men's Street Footwear,45.0,1097,49365.0,24190.0,49.0,Outlet,TN
west gear,2019-01-02,Northeast,Delaware,Wilmington,Women's Apparel,30.0,1404,42120.0,24010.0,56.9999999999999,Online,DE
sports direct,2019-01-02,Southeast,Georgia,Atlanta,Women's Street Footwear,35.0,1711,59885.0,22760.0,38.0,Online,GA
sports direct,2019-01-02,South,Alabama,Birmingham,Men's Street Footwear,45.0,1002,45090.0,17590.0,39.0,Online,AL
foot locker,2019-01-02,Northeast,Delaware,Wilmington,Men's Apparel,65.0,1587,103155.0,46420.0,45.0,Outlet,DE
amazon,2019-01-02,South,Alabama,Birmingham,Women's Street Footwear,35.0,1081,37835.0,21190.0,56.0,Online,AL
foot locker,2019-01-02,South,Louisiana,New Orleans,Men's Athletic Footwear,50.0,1113,55650.0,26710.0,48.0,In-store,LA
sports direct,2019-01-02,Southeast,North Carolina,Charlotte,Women's Street Footwear,40.0,1381,55240.0,27620.0,50.0,Outlet,NC
amazon,2019-01-02,South,Mississippi,Jackson,Men's Street Footwear,35.0,1872,65520.0,38000.0,57.9999999999999,Online,MS
west gear,2019-01-02,South,Alabama,Birmingham,Men's Street Footwear,60.0,1107,66420.0,23250.0,35.0,In-store,AL
amazon,2019-01-02,Midwest,North Dakota,Fargo,Men's Athletic Footwear,60.0,1567,94020.0,52650.0,56.0,Online,ND
west gear,2019-01-02,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,35.0,1702,59570.0,22040.0,37.0,Online,OK
kohl's,2019-01-02,Midwest,Michigan,Detroit,Women's Athletic Footwear,55.0,1311,72105.0,30280.0,42.0,Outlet,MI
west gear,2019-01-02,Northeast,Massachusetts,Boston,Women's Apparel,65.0,1368,88920.0,35570.0,40.0,In-store,MA
kohl's,2019-01-02,Southeast,Georgia,Atlanta,Men's Athletic Footwear,35.0,1587,55545.0,27220.0,49.0,In-store,GA
sports direct,2019-01-02,South,Texas,Dallas,Men's Apparel,40.0,1759,70360.0,27440.0,39.0,Online,TX
foot locker,2019-01-02,Midwest,Montana,Billings,Men's Apparel,55.0,1061,58355.0,28590.0,49.0,In-store,MT
west gear,2019-01-02,West,Wyoming,Cheyenne,Men's Street Footwear,45.0,1208,54360.0,21200.0,39.0,In-store,WY
amazon,2019-01-02,West,Hawaii,Honolulu,Women's Apparel,45.0,1309,58905.0,33580.0,56.9999999999999,Online,HI
kohl's,2019-01-02,Southeast,North Carolina,Charlotte,Women's Apparel,60.0,1520,91200.0,53810.0,59.0,Outlet,NC
kohl's,2019-01-02,Northeast,Delaware,Wilmington,Men's Apparel,65.0,1042,67730.0,33860.0,50.0,In-store,DE
west gear,2019-01-03,Midwest,Missouri,St. Louis,Men's Apparel,70.0,1425,99750.0,31920.0,32.0,Online,MO
foot locker,2019-01-03,South,Arkansas,Little Rock,Women's Street Footwear,40.0,1376,55040.0,17060.0,31.0,Outlet,AR
foot locker,2019-01-03,South,Texas,Houston,Men's Athletic Footwear,35.0,1248,43680.0,20090.0,46.0,Online,TX
walmart,2019-01-03,Midwest,Ohio,Columbus,Women's Athletic Footwear,50.0,1313,65650.0,19700.0,30.0,Outlet,OH
walmart,2019-01-03,Southeast,Georgia,Atlanta,Men's Athletic Footwear,55.0,1752,96360.0,36620.0,38.0,Online,GA
kohl's,2019-01-03,South,Oklahoma,Oklahoma City,Women's Apparel,45.0,1810,81450.0,24440.0,30.0,Outlet,OK
foot locker,2019-01-03,West,Alaska,Anchorage,Men's Street Footwear,65.0,1484,96460.0,37620.0,39.0,In-store,AK
kohl's,2019-01-03,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,30.0,1819,54570.0,28920.0,53.0,Online,NC
foot locker,2019-01-03,Northeast,New Jersey,Newark,Men's Apparel,60.0,1335,80100.0,32040.0,40.0,Online,NJ
sports direct,2019-01-03,Southeast,Kentucky,Louisville,Women's Athletic Footwear,70.0,1639,114730.0,37860.0,33.0,Outlet,KY
amazon,2019-01-03,Southeast,South Carolina,Charleston,Men's Street Footwear,70.0,1968,137760.0,75770.0,55.0,Online,SC
amazon,2019-01-03,Southeast,Kentucky,Louisville,Men's Athletic Footwear,50.0,1610,80500.0,33810.0,42.0,Online,KY
foot locker,2019-01-03,Midwest,Minnesota,Minneapolis,Men's Street Footwear,60.0,1262,75720.0,42400.0,56.0,In-store,MN
amazon,2019-01-03,West,Alaska,Anchorage,Men's Athletic Footwear,45.0,1793,80685.0,46800.0,57.9999999999999,Online,AK
walmart,2019-01-03,South,Arkansas,Little Rock,Women's Apparel,65.0,1332,86580.0,27710.0,32.0,Online,AR
walmart,2019-01-03,West,Hawaii,Honolulu,Women's Apparel,65.0,1743,113295.0,48720.0,43.0,In-store,HI
amazon,2019-01-03,Southeast,Kentucky,Louisville,Women's Athletic Footwear,30.0,1284,38520.0,19260.0,50.0,Online,KY
west gear,2019-01-03,Northeast,Massachusetts,Boston,Men's Street Footwear,35.0,1586,55510.0,24980.0,45.0,Online,MA
walmart,2019-01-03,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,50.0,1824,91200.0,36480.0,40.0,In-store,NC
west gear,2019-01-03,Northeast,Connecticut,Hartford,Women's Athletic Footwear,45.0,1348,60660.0,28510.0,47.0,Online,CT
walmart,2019-01-03,Midwest,Iowa,Des Moines,Men's Street Footwear,60.0,1185,71100.0,31280.0,44.0,Online,IA
kohl's,2019-01-03,Midwest,Ohio,Columbus,Women's Athletic Footwear,70.0,1971,137970.0,46910.0,34.0,Outlet,OH
walmart,2019-01-03,South,Alabama,Birmingham,Men's Street Footwear,40.0,1539,61560.0,36940.0,60.0,Outlet,AL
west gear,2019-01-03,Northeast,Maine,Portland,Men's Street Footwear,65.0,1444,93860.0,30970.0,33.0,In-store,ME
west gear,2019-01-03,Southeast,Kentucky,Louisville,Men's Athletic Footwear,45.0,1369,61605.0,20950.0,34.0,Outlet,KY
walmart,2019-01-04,Midwest,Michigan,Detroit,Men's Street Footwear,40.0,1224,48960.0,20560.0,42.0,Online,MI
walmart,2019-01-04,South,Mississippi,Jackson,Men's Apparel,65.0,1068,69420.0,25690.0,37.0,Online,MS
west gear,2019-01-04,West,Utah,Salt Lake City,Men's Athletic Footwear,50.0,1340,67000.0,38860.0,57.9999999999999,In-store,UT
amazon,2019-01-04,Northeast,West Virginia,Charleston,Men's Apparel,70.0,1849,129430.0,56950.0,44.0,Online,WV
amazon,2019-01-04,Southeast,South Carolina,Charleston,Men's Street Footwear,55.0,1592,87560.0,45530.0,52.0,Online,SC
walmart,2019-01-04,West,Nevada,Las Vegas,Women's Athletic Footwear,50.0,1938,96900.0,36820.0,38.0,Outlet,NV
amazon,2019-01-04,Southeast,Georgia,Atlanta,Women's Athletic Footwear,35.0,1502,52570.0,16820.0,32.0,Online,GA
west gear,2019-01-04,Southeast,Florida,Orlando,Women's Athletic Footwear,35.0,1126,39410.0,20490.0,52.0,Online,FL
sports direct,2019-01-04,West,Utah,Salt Lake City,Men's Street Footwear,50.0,1767,88350.0,34460.0,39.0,In-store,UT
walmart,2019-01-04,Northeast,Massachusetts,Boston,Men's Apparel,50.0,1393,69650.0,29950.0,43.0,Online,MA
amazon,2019-01-04,Southeast,Florida,Miami,Men's Apparel,55.0,1572,86460.0,29400.0,34.0,Online,FL
foot locker,2019-01-04,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,60.0,1360,81600.0,25300.0,31.0,Outlet,OK
sports direct,2019-01-04,Southeast,Kentucky,Louisville,Men's Athletic Footwear,40.0,1531,61240.0,27560.0,45.0,Outlet,KY
kohl's,2019-01-04,West,Idaho,Boise,Women's Athletic Footwear,55.0,1439,79145.0,42740.0,54.0,In-store,ID
west gear,2019-01-04,Southeast,Kentucky,Louisville,Women's Athletic Footwear,70.0,1354,94780.0,52130.0,55.0,Outlet,KY
sports direct,2019-01-04,Midwest,Ohio,Columbus,Men's Athletic Footwear,55.0,1443,79365.0,27780.0,35.0,Online,OH
amazon,2019-01-04,South,Arkansas,Little Rock,Women's Athletic Footwear,45.0,1906,85770.0,47170.0,55.0,Online,AR
west gear,2019-01-04,Southeast,Georgia,Atlanta,Women's Apparel,65.0,1293,84045.0,26050.0,31.0,Outlet,GA
west gear,2019-01-04,South,Louisiana,New Orleans,Women's Apparel,55.0,1305,71775.0,30150.0,42.0,In-store,LA
walmart,2019-01-04,Northeast,New Jersey,Newark,Women's Athletic Footwear,40.0,1600,64000.0,21120.0,33.0,In-store,NJ
kohl's,2019-01-04,Southeast,Georgia,Atlanta,Men's Street Footwear,55.0,1391,76505.0,25250.0,33.0,Online,GA
foot locker,2019-01-04,Midwest,North Dakota,Fargo,Men's Athletic Footwear,60.0,1358,81480.0,41550.0,51.0,Online,ND
amazon,2019-01-04,Southeast,South Carolina,Charleston,Women's Street Footwear,40.0,1757,70280.0,33730.0,48.0,Online,SC
west gear,2019-01-04,Northeast,Rhode Island,Providence,Women's Athletic Footwear,55.0,1500,82500.0,43720.0,53.0,Online,RI
kohl's,2019-01-04,West,Wyoming,Cheyenne,Men's Apparel,65.0,1797,116805.0,70080.0,60.0,In-store,WY
walmart,2019-01-05,Southeast,Kentucky,Louisville,Women's Street Footwear,40.0,1194,47760.0,19580.0,41.0,In-store,KY
walmart,2019-01-05,West,Alaska,Anchorage,Men's Street Footwear,40.0,1748,69920.0,39160.0,56.0,Outlet,AK
west gear,2019-01-05,Southeast,South Carolina,Charleston,Men's Athletic Footwear,60.0,1578,94680.0,33140.0,35.0,Online,SC
foot locker,2019-01-05,South,Tennessee,Knoxville,Men's Athletic Footwear,30.0,1475,44250.0,18140.0,41.0,Outlet,TN
sports direct,2019-01-05,Southeast,Georgia,Atlanta,Men's Athletic Footwear,50.0,1946,97300.0,36970.0,38.0,Online,GA
foot locker,2019-01-05,Northeast,Connecticut,Hartford,Men's Apparel,40.0,1936,77440.0,27100.0,35.0,In-store,CT
kohl's,2019-01-05,Midwest,Michigan,Detroit,Women's Athletic Footwear,50.0,1332,66600.0,35300.0,53.0,In-store,MI
west gear,2019-01-05,Southeast,Florida,Miami,Women's Street Footwear,55.0,1360,74800.0,35160.0,47.0,Online,FL
west gear,2019-01-05,Midwest,Michigan,Detroit,Women's Apparel,40.0,1540,61600.0,20940.0,34.0,In-store,MI
foot locker,2019-01-05,Southeast,South Carolina,Charleston,Men's Athletic Footwear,35.0,1237,43295.0,24680.0,56.9999999999999,In-store,SC
kohl's,2019-01-05,Midwest,Montana,Billings,Women's Athletic Footwear,60.0,1935,116100.0,62690.0,54.0,Outlet,MT
kohl's,2019-01-05,South,Alabama,Birmingham,Men's Athletic Footwear,30.0,1435,43050.0,19370.0,45.0,In-store,AL
walmart,2019-01-05,Northeast,Rhode Island,Providence,Women's Athletic Footwear,50.0,1456,72800.0,24020.0,33.0,Outlet,RI
west gear,2019-01-05,South,Mississippi,Jackson,Women's Apparel,65.0,1096,71240.0,40610.0,56.9999999999999,Online,MS
walmart,2019-01-05,South,Alabama,Birmingham,Men's Apparel,40.0,1195,47800.0,22940.0,48.0,Online,AL
sports direct,2019-01-05,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,50.0,1562,78100.0,34360.0,44.0,In-store,PA
west gear,2019-01-05,Northeast,Connecticut,Hartford,Men's Street Footwear,50.0,1966,98300.0,44240.0,45.0,Online,CT
kohl's,2019-01-05,Midwest,North Dakota,Fargo,Women's Apparel,40.0,1096,43840.0,21920.0,50.0,Outlet,ND
amazon,2019-01-05,West,Washington,Seattle,Women's Street Footwear,70.0,1561,109270.0,52450.0,48.0,Online,WA
kohl's,2019-01-05,Midwest,Kansas,Wichita,Men's Athletic Footwear,55.0,1000,55000.0,33000.0,60.0,In-store,KS
sports direct,2019-01-05,Midwest,Minnesota,Minneapolis,Men's Apparel,55.0,1466,80630.0,30640.0,38.0,Online,MN
west gear,2019-01-05,West,Colorado,Denver,Men's Athletic Footwear,55.0,1814,99770.0,33920.0,34.0,Online,CO
amazon,2019-01-05,Midwest,Illinois,Chicago,Men's Street Footwear,30.0,1717,51510.0,22660.0,44.0,Online,IL
foot locker,2019-01-05,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,40.0,1769,70760.0,37500.0,53.0,Outlet,IN
kohl's,2019-01-05,Southeast,South Carolina,Charleston,Women's Street Footwear,40.0,1287,51480.0,27280.0,53.0,Outlet,SC
foot locker,2019-01-06,Midwest,Kansas,Wichita,Women's Apparel,65.0,1391,90415.0,30740.0,34.0,Online,KS
walmart,2019-01-06,Northeast,Connecticut,Hartford,Women's Street Footwear,40.0,1429,57160.0,33720.0,59.0,Outlet,CT
walmart,2019-01-06,Northeast,Maine,Portland,Women's Athletic Footwear,60.0,1448,86880.0,28670.0,33.0,Outlet,ME
sports direct,2019-01-06,Northeast,West Virginia,Charleston,Men's Street Footwear,35.0,1466,51310.0,17960.0,35.0,In-store,WV
west gear,2019-01-06,Midwest,Ohio,Columbus,Men's Street Footwear,35.0,1556,54460.0,17430.0,32.0,Online,OH
sports direct,2019-01-06,Southeast,Kentucky,Louisville,Men's Street Footwear,65.0,1382,89830.0,33240.0,37.0,In-store,KY
west gear,2019-01-06,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,40.0,1820,72800.0,41500.0,56.9999999999999,Online,OK
foot locker,2019-01-06,West,Wyoming,Cheyenne,Women's Street Footwear,35.0,1696,59360.0,23740.0,40.0,In-store,WY
foot locker,2019-01-06,Midwest,Minnesota,Minneapolis,Men's Apparel,60.0,1724,103440.0,54820.0,53.0,Online,MN
foot locker,2019-01-06,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,30.0,1094,32820.0,18380.0,56.0,In-store,MN
sports direct,2019-01-06,West,New Mexico,Albuquerque,Women's Street Footwear,40.0,1277,51080.0,19920.0,39.0,In-store,NM
amazon,2019-01-06,West,California,Los Angeles,Men's Apparel,30.0,1940,58200.0,32590.0,56.0,Online,CA
sports direct,2019-01-06,Midwest,Iowa,Des Moines,Men's Athletic Footwear,60.0,1303,78180.0,45340.0,57.9999999999999,Outlet,IA
kohl's,2019-01-06,Midwest,Iowa,Des Moines,Men's Street Footwear,40.0,1555,62200.0,26120.0,42.0,Online,IA
west gear,2019-01-06,South,Tennessee,Knoxville,Men's Street Footwear,60.0,1409,84540.0,31280.0,37.0,Online,TN
amazon,2019-01-06,Southeast,South Carolina,Charleston,Men's Athletic Footwear,30.0,1517,45510.0,21390.0,47.0,Online,SC
kohl's,2019-01-06,Midwest,Michigan,Detroit,Men's Athletic Footwear,60.0,1961,117660.0,68240.0,57.9999999999999,In-store,MI
foot locker,2019-01-06,South,Arkansas,Little Rock,Men's Street Footwear,40.0,1628,65120.0,27350.0,42.0,Outlet,AR
amazon,2019-01-06,West,Nevada,Las Vegas,Women's Athletic Footwear,50.0,1132,56600.0,25470.0,45.0,Online,NV
kohl's,2019-01-06,Northeast,Maine,Portland,Men's Street Footwear,65.0,1648,107120.0,42850.0,40.0,In-store,ME
walmart,2019-01-06,Midwest,Illinois,Chicago,Men's Apparel,65.0,1197,77805.0,44350.0,56.9999999999999,In-store,IL
amazon,2019-01-06,Southeast,North Carolina,Charlotte,Women's Street Footwear,60.0,1880,112800.0,54140.0,48.0,Online,NC
sports direct,2019-01-06,West,Arizona,Phoenix,Women's Street Footwear,30.0,1559,46770.0,21510.0,46.0,Online,AZ
kohl's,2019-01-06,South,Alabama,Birmingham,Men's Apparel,40.0,1989,79560.0,44550.0,56.0,In-store,AL
sports direct,2019-01-06,West,New Mexico,Albuquerque,Men's Apparel,45.0,1698,76410.0,26740.0,35.0,Online,NM
west gear,2019-01-07,Northeast,Connecticut,Hartford,Men's Apparel,50.0,1041,52050.0,27070.0,52.0,Outlet,CT
west gear,2019-01-07,Southeast,Virginia,Richmond,Men's Street Footwear,55.0,1238,68090.0,34730.0,51.0,In-store,VA
amazon,2019-01-07,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,65.0,1074,69810.0,23040.0,33.0,Online,IN
walmart,2019-01-07,South,Louisiana,New Orleans,Men's Street Footwear,50.0,1425,71250.0,39900.0,56.0,In-store,LA
sports direct,2019-01-07,West,Nevada,Las Vegas,Women's Athletic Footwear,40.0,1672,66880.0,37450.0,56.0,Online,NV
west gear,2019-01-07,West,California,San Francisco,Men's Apparel,60.0,1515,90900.0,44540.0,49.0,In-store,CA
walmart,2019-01-07,South,Louisiana,New Orleans,Women's Street Footwear,55.0,1095,60225.0,34330.0,56.9999999999999,Outlet,LA
sports direct,2019-01-07,South,Tennessee,Knoxville,Women's Street Footwear,65.0,1018,66170.0,27130.0,41.0,Online,TN
foot locker,2019-01-07,West,Oregon,Portland,Women's Apparel,65.0,1919,124735.0,38670.0,31.0,In-store,OR
foot locker,2019-01-07,Northeast,New York,Albany,Women's Apparel,65.0,1095,71175.0,37720.0,53.0,In-store,NY
walmart,2019-01-07,Northeast,Rhode Island,Providence,Women's Athletic Footwear,65.0,1754,114010.0,38760.0,34.0,Online,RI
kohl's,2019-01-07,West,Oregon,Portland,Men's Street Footwear,50.0,1627,81350.0,30100.0,37.0,In-store,OR
sports direct,2019-01-07,Midwest,Montana,Billings,Women's Athletic Footwear,45.0,1630,73350.0,34470.0,47.0,Outlet,MT
amazon,2019-01-07,West,Colorado,Denver,Men's Athletic Footwear,60.0,1713,102780.0,33920.0,33.0,Online,CO
walmart,2019-01-07,South,Texas,Houston,Women's Apparel,35.0,1856,64960.0,27280.0,42.0,In-store,TX
kohl's,2019-01-07,West,Alaska,Anchorage,Women's Apparel,50.0,1636,81800.0,40080.0,49.0,Outlet,AK
kohl's,2019-01-07,Midwest,Montana,Billings,Women's Athletic Footwear,55.0,1803,99165.0,52560.0,53.0,Outlet,MT
west gear,2019-01-07,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,40.0,1193,47720.0,16220.0,34.0,Online,IN
sports direct,2019-01-07,Northeast,Delaware,Wilmington,Women's Street Footwear,35.0,1428,49980.0,28990.0,57.9999999999999,In-store,DE
walmart,2019-01-07,West,Oregon,Portland,Men's Street Footwear,55.0,1443,79365.0,34130.0,43.0,Outlet,OR
sports direct,2019-01-07,Southeast,South Carolina,Charleston,Men's Athletic Footwear,40.0,1442,57680.0,28840.0,50.0,Online,SC
sports direct,2019-01-07,West,Idaho,Boise,Women's Street Footwear,40.0,1926,77040.0,29280.0,38.0,Outlet,ID
sports direct,2019-01-07,Southeast,Florida,Orlando,Men's Street Footwear,40.0,1194,47760.0,27700.0,57.9999999999999,In-store,FL
sports direct,2019-01-07,South,Arkansas,Little Rock,Men's Apparel,60.0,1190,71400.0,25700.0,36.0,Online,AR
west gear,2019-01-07,Northeast,Delaware,Wilmington,Men's Apparel,55.0,1987,109285.0,41530.0,38.0,Online,DE
foot locker,2019-01-08,West,Arizona,Phoenix,Women's Apparel,35.0,1676,58660.0,18180.0,31.0,Outlet,AZ
foot locker,2019-01-08,West,Idaho,Boise,Men's Street Footwear,45.0,1792,80640.0,32260.0,40.0,Online,ID
sports direct,2019-01-08,Southeast,Georgia,Atlanta,Men's Athletic Footwear,50.0,1318,65900.0,21750.0,33.0,Online,GA
foot locker,2019-01-08,Northeast,New Jersey,Newark,Women's Athletic Footwear,65.0,1416,92040.0,40500.0,44.0,Outlet,NJ
foot locker,2019-01-08,Midwest,Minnesota,Minneapolis,Women's Street Footwear,55.0,1921,105655.0,62340.0,59.0,Online,MN
foot locker,2019-01-08,Southeast,North Carolina,Charlotte,Men's Apparel,35.0,1574,55090.0,17630.0,32.0,Outlet,NC
foot locker,2019-01-08,Northeast,New Hampshire,Manchester,Men's Apparel,45.0,1893,85185.0,32370.0,38.0,Online,NH
kohl's,2019-01-08,Southeast,Georgia,Atlanta,Women's Street Footwear,55.0,1541,84755.0,40680.0,48.0,In-store,GA
west gear,2019-01-08,Midwest,Missouri,St. Louis,Men's Athletic Footwear,60.0,1509,90540.0,47990.0,53.0,In-store,MO
sports direct,2019-01-08,Southeast,Georgia,Atlanta,Women's Street Footwear,35.0,1140,39900.0,14360.0,36.0,Outlet,GA
west gear,2019-01-08,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,65.0,1884,122460.0,61230.0,50.0,Online,PA
walmart,2019-01-08,Midwest,Montana,Billings,Men's Athletic Footwear,40.0,1960,78400.0,25870.0,33.0,In-store,MT
kohl's,2019-01-08,West,Washington,Seattle,Men's Street Footwear,40.0,1752,70080.0,32240.0,46.0,Outlet,WA
sports direct,2019-01-08,West,California,Los Angeles,Women's Street Footwear,35.0,1053,36855.0,16580.0,45.0,Online,CA
foot locker,2019-01-08,Southeast,Georgia,Atlanta,Women's Street Footwear,65.0,1343,87295.0,36660.0,42.0,Online,GA
kohl's,2019-01-08,Southeast,Georgia,Atlanta,Men's Street Footwear,65.0,1048,68120.0,38150.0,56.0,Outlet,GA
amazon,2019-01-08,Northeast,Maryland,Baltimore,Women's Street Footwear,40.0,1454,58160.0,18610.0,32.0,Online,MD
amazon,2019-01-08,West,New Mexico,Albuquerque,Men's Apparel,65.0,1430,92950.0,52050.0,56.0,Online,NM
kohl's,2019-01-08,Northeast,Maryland,Baltimore,Women's Apparel,60.0,1827,109620.0,54810.0,50.0,Online,MD
west gear,2019-01-08,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,70.0,1289,90230.0,42410.0,47.0,Online,NC
kohl's,2019-01-08,Midwest,Illinois,Chicago,Women's Athletic Footwear,40.0,1084,43360.0,22980.0,53.0,Online,IL
sports direct,2019-01-08,Northeast,Massachusetts,Boston,Men's Athletic Footwear,65.0,1249,81185.0,31660.0,39.0,Outlet,MA
amazon,2019-01-08,West,Colorado,Denver,Men's Apparel,35.0,1000,35000.0,10850.0,31.0,Online,CO
foot locker,2019-01-08,West,California,Los Angeles,Men's Athletic Footwear,30.0,1930,57900.0,21420.0,37.0,In-store,CA
walmart,2019-01-08,Midwest,North Dakota,Fargo,Men's Street Footwear,35.0,1309,45815.0,17410.0,38.0,In-store,ND
walmart,2019-01-09,Midwest,Illinois,Chicago,Men's Street Footwear,55.0,1358,74690.0,32120.0,43.0,Outlet,IL
west gear,2019-01-09,South,Alabama,Birmingham,Men's Apparel,55.0,1286,70730.0,22630.0,32.0,Online,AL
west gear,2019-01-09,Northeast,Rhode Island,Providence,Women's Apparel,60.0,1053,63180.0,35380.0,56.0,In-store,RI
west gear,2019-01-09,Northeast,Rhode Island,Providence,Men's Apparel,60.0,1256,75360.0,40690.0,54.0,In-store,RI
kohl's,2019-01-09,Northeast,Maryland,Baltimore,Women's Apparel,50.0,1633,81650.0,47360.0,57.9999999999999,Outlet,MD
sports direct,2019-01-09,West,Nevada,Las Vegas,Women's Apparel,60.0,1712,102720.0,40060.0,39.0,In-store,NV
sports direct,2019-01-09,Southeast,South Carolina,Charleston,Men's Apparel,30.0,1415,42450.0,22920.0,54.0,Online,SC
west gear,2019-01-09,Southeast,South Carolina,Charleston,Women's Apparel,65.0,1228,79820.0,47090.0,59.0,Outlet,SC
kohl's,2019-01-09,South,Louisiana,New Orleans,Women's Athletic Footwear,35.0,1826,63910.0,19810.0,31.0,Outlet,LA
west gear,2019-01-09,Midwest,Ohio,Columbus,Women's Street Footwear,65.0,1605,104325.0,36510.0,35.0,In-store,OH
west gear,2019-01-09,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,35.0,1069,37415.0,20950.0,56.0,Outlet,PA
amazon,2019-01-09,Midwest,Missouri,St. Louis,Women's Athletic Footwear,35.0,1138,39830.0,17530.0,44.0,Online,MO
sports direct,2019-01-09,West,Oregon,Portland,Women's Apparel,50.0,1525,76250.0,35080.0,46.0,Outlet,OR
kohl's,2019-01-09,West,Arizona,Phoenix,Men's Athletic Footwear,60.0,1668,100080.0,31020.0,31.0,Online,AZ
