State,Retailer,state_code,TotalSales
Missouri,foot locker,MO,10215242.0
Missouri,kohl's,MO,1260930.0
Missouri,sports direct,MO,1446155.0
Missouri,walmart,MO,1419710.0
Missouri,west gear,MO,3168968.0
Montana,amazon,MT,1474205.0
Montana,foot locker,MT,1675995.0
Montana,kohl's,MT,16847668.0
Montana,sports direct,MT,2686298.0
Montana,walmart,MT,2181615.0
Montana,west gear,MT,1289650.0
Nebraska,amazon,NE,1697670.0
Nebraska,foot locker,NE,6978774.0
Nebraska,kohl's,NE,1893490.0
Nebraska,sports direct,NE,2320709.0
Nebraska,walmart,NE,1893905.0
Nebraska,west gear,NE,1880250.0
Nevada,amazon,NV,1729505.0
Nevada,foot locker,NV,2293440.0
Nevada,kohl's,NV,2193055.0
Nevada,sports direct,NV,2051175.0
Nevada,walmart,NV,1938920.0
Nevada,west gear,NV,22429714.0
New Hampshire,amazon,NH,12252297.0
New Hampshire,foot locker,NH,8490740.000000002
New Hampshire,kohl's,NH,2509920.0
New Hampshire,sports direct,NH,2004320.0
New Hampshire,walmart,NH,1373185.0
New Hampshire,west gear,NH,2534000.0
New Jersey,amazon,NJ,1791270.0
New Jersey,foot locker,NJ,2179245.0
New Jersey,kohl's,NJ,7776745.0
New Jersey,sports direct,NJ,6092946.0
New Jersey,walmart,NJ,2337490.0
New Jersey,west gear,NJ,2167195.0
New Mexico,amazon,NM,1065405.0
New Mexico,foot locker,NM,2497680.0
New Mexico,kohl's,NM,18729525.000000004
New Mexico,sports direct,NM,4419141.0
New Mexico,walmart,NM,2101355.0
New Mexico,west gear,NM,1843600.0
New York,amazon,NY,1390315.0
New York,foot locker,NY,26827033.0
New York,kohl's,NY,5691634.0
New York,sports direct,NY,2962082.0
New York,walmart,NY,15489965.0
New York,west gear,NY,21867560.000000004
North Carolina,amazon,NC,8303821.0
North Carolina,foot locker,NC,3599985.0
North Carolina,kohl's,NC,3111230.0
North Carolina,sports direct,NC,23562210.0
North Carolina,walmart,NC,3223945.0
North Carolina,west gear,NC,3933280.0
North Dakota,amazon,ND,2719345.0
North Dakota,foot locker,ND,4352162.0
North Dakota,kohl's,ND,2170325.0
North Dakota,sports direct,ND,6701723.0
North Dakota,walmart,ND,1924080.0
North Dakota,west gear,ND,1422460.0
Ohio,amazon,OH,19518603.0
Ohio,foot locker,OH,2411930.0
Ohio,kohl's,OH,1957420.0
Ohio,sports direct,OH,2030840.0
Ohio,walmart,OH,2037575.0
Ohio,west gear,OH,3343400.0000000005
Oklahoma,amazon,OK,3157985.0
Oklahoma,foot locker,OK,3123930.0
Oklahoma,kohl's,OK,7021305.0
Oklahoma,sports direct,OK,3567465.0
Oklahoma,walmart,OK,2468485.0
Oklahoma,west gear,OK,11494014.0
Oregon,amazon,OR,1303775.0
Oregon,foot locker,OR,1463910.0
Oregon,kohl's,OR,2505440.0
Oregon,sports direct,OR,2074385.0
Oregon,walmart,OR,2028390.0
Oregon,west gear,OR,23134739.0
Pennsylvania,amazon,PA,2045490.0
Pennsylvania,foot locker,PA,11375568.0
Pennsylvania,kohl's,PA,1329370.0
Pennsylvania,sports direct,PA,1835405.0
Pennsylvania,walmart,PA,1645870.0
Pennsylvania,west gear,PA,2082896.0
Rhode Island,amazon,RI,1609435.0
Rhode Island,foot locker,RI,7629302.0
Rhode Island,kohl's,RI,1579010.0
Rhode Island,sports direct,RI,5416139.0
Rhode Island,walmart,RI,2326115.0
Rhode Island,west gear,RI,1975695.0
South Carolina,amazon,SC,4131005.0
South Carolina,foot locker,SC,28267540.000000004
South Carolina,kohl's,SC,3230660.0
South Carolina,sports direct,SC,8418682.0
South Carolina,walmart,SC,4680335.0
South Carolina,west gear,SC,4212190.0
South Dakota,amazon,SD,2061620.0
South Dakota,foot locker,SD,7571390.0
South Dakota,kohl's,SD,1853250.0
South Dakota,sports direct,SD,4210866.0
South Dakota,walmart,SD,1661925.0
South Dakota,west gear,SD,1651675.0
Tennessee,amazon,TN,2685915.0
Tennessee,foot locker,TN,3217515.0
Tennessee,kohl's,TN,3919440.0
Tennessee,sports direct,TN,20794885.0
Tennessee,walmart,TN,3978885.0
Tennessee,west gear,TN,3506840.0
Texas,amazon,TX,3925720.0
Texas,foot locker,TX,3239156.0
Texas,kohl's,TX,3209600.0
Texas,sports direct,TX,28140142.0
Texas,walmart,TX,22576055.0
Texas,west gear,TX,5166378.0
Utah,amazon,UT,1644430.0
Utah,foot locker,UT,1755610.0
Utah,kohl's,UT,780910.0
Utah,sports direct,UT,1219940.0
Utah,walmart,UT,2403970.0
Utah,west gear,UT,11901175.0
Vermont,amazon,VT,15531498.0
Vermont,foot locker,VT,2121340.0
Vermont,kohl's,VT,2033545.0
Vermont,sports direct,VT,1932575.0
Vermont,walmart,VT,1558315.0
Vermont,west gear,VT,2757930.0
Virginia,amazon,VA,2767670.0
Virginia,foot locker,VA,22229373.0
Virginia,kohl's,VA,3678870.0
Virginia,sports direct,VA,6122337.0
Virginia,walmart,VA,3322100.0
Virginia,west gear,VA,3807410.0
Washington,amazon,WA,1363805.0
Washington,foot locker,WA,2793998.0
Washington,kohl's,WA,2370260.0
Washington,sports direct,WA,1739405.0
Washington,walmart,WA,1589250.0
Washington,west gear,WA,27004850.000000004
West Virginia,amazon,WV,1993310.0
West Virginia,foot locker,WV,5686867.0
West Virginia,kohl's,WV,2180840.0
West Virginia,sports direct,WV,1749570.0
West Virginia,walmart,WV,1686570.0
West Virginia,west gear,WV,9161953.0
Wisconsin,amazon,WI,2101995.0
Wisconsin,foot locker,WI,1938785.0
Wisconsin,kohl's,WI,1295790.0
Wisconsin,sports direct,WI,2263340.0
Wisconsin,walmart,WI,2038990.0
Wisconsin,west gear,WI,9242544.0
Wyoming,amazon,WY,1447900.0
Wyoming,foot locker,WY,4269085.0
Wyoming,kohl's,WY,19242302.0
Wyoming,sports direct,WY,1954160.0
Wyoming,walmart,WY,1741975.0
Wyoming,west gear,WY,1888000.0
