State,SalesMethod,state_code,TotalSales
Nebraska,Online,NE,4559408.0
Nebraska,Outlet,NE,8778365.0
Nevada,In-store,NV,15311815.000000002
Nevada,Online,NV,5632265.0
Nevada,Outlet,NV,11691729.0
New Hampshire,In-store,NH,8779880.0
New Hampshire,Online,NH,6718993.0
New Hampshire,Outlet,NH,13665589.000000002
New Jersey,In-store,NJ,13922125.0
New Jersey,Online,NJ,5904126.0
New Jersey,Outlet,NJ,2518640.0
New Mexico,In-store,NM,3212690.0
New Mexico,Online,NM,23842953.000000004
New Mexico,Outlet,NM,3601063.0
New York,In-store,NY,30312175.000000004
New York,Online,NY,6203390.0
New York,Outlet,NY,37713024.0
North Carolina,In-store,NC,6019215.0
North Carolina,Online,NC,32872101.000000004
North Carolina,Outlet,NC,6843155.0
North Dakota,In-store,ND,9105495.0
North Dakota,Online,ND,6931195.0
North Dakota,Outlet,ND,3253405.0
Ohio,In-store,OH,3465025.0
Ohio,Online,OH,24564758.000000004
Ohio,Outlet,OH,3269985.0
Oklahoma,In-store,OK,6130425.0
Oklahoma,Online,OK,19055570.0
Oklahoma,Outlet,OK,5647189.0
Oregon,In-store,OR,23370900.0
Oregon,Online,OR,5260747.0
Oregon,Outlet,OR,3878992.0
Pennsylvania,In-store,PA,2889325.0
Pennsylvania,Online,PA,5110505.0
Pennsylvania,Outlet,PA,12314769.0
Rhode Island,In-store,RI,11063345.0
Rhode Island,Online,RI,5491915.0
Rhode Island,Outlet,RI,3980436.0
South Carolina,In-store,SC,6176685.0
South Carolina,Online,SC,40404062.0
South Carolina,Outlet,SC,6359665.0
South Dakota,In-store,SD,2401120.0
South Dakota,Online,SD,13652881.0
South Dakota,Outlet,SD,2956725.0
Tennessee,In-store,TN,5957995.0
Tennessee,Online,TN,8909006.0
Tennessee,Outlet,TN,23236479.0
Texas,In-store,TX,5481125.0
Texas,Online,TX,10234859.0
Texas,Outlet,TX,50541067.0
Utah,In-store,UT,11780285.0
Utah,Online,UT,5374632.0
Utah,Outlet,UT,2551118.0
Vermont,In-store,VT,17154340.0
Vermont,Online,VT,5806127.0
Vermont,Outlet,VT,2974736.0
Virginia,In-store,VA,25459585.0
Virginia,Online,VA,9024901.0
Virginia,Outlet,VA,7443274.0
Washington,In-store,WA,29492665.000000004
Washington,Online,WA,4688873.0
Washington,Outlet,WA,2680030.0
West Virginia,In-store,WV,14216875.0
West Virginia,Online,WV,5091020.0
West Virginia,Outlet,WV,3151215.0
Wisconsin,In-store,WI,10723385.0
Wisconsin,Online,WI,5458104.0
Wisconsin,Outlet,WI,2699955.0
Wyoming,In-store,WY,21862650.0
Wyoming,Online,WY,4581617.0
Wyoming,Outlet,WY,4099155.0
